Version: 0.3.3
Canvas: 75
Users: Chssam
Pixels: 47100
Survivor: 43052
Undo: 6147
Replace: 683

Different Position
Place: 45586
Undo: 6126

Top Color:
Place	Used	Percent	Color
1	20031	0.42528662	Navy
2	3119	0.066220805	White
3	2374	0.050403398	Blue
4	2099	0.044564757	Light Grey
5	2084	0.044246286	Aqua
6	1776	0.037707005	Medium Grey
7	1721	0.03653928	Black
8	1498	0.03180467	Dark Green
9	1278	0.027133757	Pastel Yellow
10	1060	0.022505308	Dark Grey
11	973	0.020658175	Deep Grey
12	945	0.020063695	Azure
13	796	0.016900212	Yellow
14	759	0.01611465	Pink
15	729	0.015477707	Beige
16	718	0.015244162	Red
17	519	0.011019108	Forest
18	514	0.010912951	Maroon
19	508	0.010785563	Lime
20	475	0.010084926	Rose
21	460	0.009766455	Magenta
22	407	0.008641189	Dark Teal
23	345	0.007324841	Light Teal
24	330	0.0070063695	Watermelon
25	296	0.006284501	Purple
26	271	0.0057537155	Rust
27	224	0.004755839	Peach
28	223	0.0047346074	Orange
29	191	0.0040552015	Green
30	186	0.0039490447	Mauve
31	101	0.0021443737	Dark Purple
32	40	0.0008492569	Brown
33	31	0.0006581741	Chocolate
34	19	0.00040339702	Dark Chocolate


Place	X	Y	Index
1		988	508	White
5		999	395	White
10		1105	208	Black
50		1090	492	White
69		1106	503	White
100		1148	560	White
1000		1192	259	Black
5000		1146	410	Pink
10000		1363	492	Aqua
25000		1140	348	Navy
